Year/Month,SDR,,US Dollar,,Pound Sterling,,Japanese Yen,,Euro,
,Average,End-month,Average,End-month,Average,End-month,Average,End-month,Average,End-month
1,2,3,4,5,6,7,8,9,10,11
Feb-96,53.7062,51.4479,36.6343,35.04,56.2717,53.6988,34.6312,33.47,24.9893,23.8675
Jan-96,52.4834,52.9722,35.738,36.48,54.7688,54.9663,33.9103,34.0875,24.5136,24.5175
Dec-95,51.9255,52.2947,34.9568,35.175,53.8458,54.4525,34.3349,34.1313,24.2771,24.4575
Nov-95,51.9156,51.9261,34.7405,34.935,54.3393,53.655,34.1173,34.4188,24.5402,24.365
Oct-95,51.8556,51.7413,34.5788,34.615,54.5599,54.5338,34.3129,33.945,24.4721,24.5188
Sep-95,49.2908,51.2299,33.2038,33.96,51.7342,53.6563,33.055,34.5038,22.6759,23.95
Aug-95,47.7551,47.5209,31.5808,31.81,49.5849,49.305,33.504,32.5925,21.9108,21.6213
Jul-95,48.8673,48.9696,31.3789,31.395,50.0545,50.2938,35.9832,35.595,22.5936,22.7225
Jun-95,49.0958,49.2904,31.4017,31.42,50.1047,50.0263,37.1351,37.1175,22.4118,22.7025
May-95,48.9507,49.5151,31.4185,31.425,49.9048,50.3813,36.9455,37.7025,22.3101,22.575
Apr-95,49.5785,49.3774,31.4132,31.39,50.5919,50.7538,37.7235,37.5075,22.8559,22.8213
Mar-95,48.6186,49.1558,31.6537,31.495,50.6,50.565,34.8963,35.2888,22.4974,22.36
Feb-95,46.3326,46.969,31.3779,31.44,49.338,49.8113,31.9248,32.4375,20.8566,21.4425
Jan-95,45.9777,46.3241,31.3739,31.375,49.3578,50.0675,31.4523,31.8213,20.4685,20.8538
Dec-94,45.5758,45.8101,31.388,31.3825,48.8625,48.9413,31.3103,31.4375,19.9609,20.215
Nov-94,46.184,45.7271,31.391,31.3875,49.8302,49.0313,32.0332,31.7138,20.3974,19.9675
Oct-94,46.3613,46.57,31.3714,31.3775,50.3967,50.9088,31.8764,32.22,21.3726,20.7688
Sep-94,45.9299,46.0317,31.3714,31.365,49.0444,49.4388,31.7709,31.7575,20.2308,20.2125
Aug-94,45.5772,45.4143,31.3726,31.37,48.3863,48.1363,31.3472,31.5,20.0214,19.9225
Jul-94,45.7095,45.2898,31.3707,31.375,48.489,47.885,31.8327,31.3975,19.9639,19.7025
Jun-94,44.7635,45.4354,31.3705,31.37,47.8267,48.465,30.5522,31.7113,19.2448,19.7525
May-94,44.3973,44.4616,31.3705,31.37,47.1676,47.3163,30.2888,30.0625,18.9261,19.0625
Apr-94,44.0616,44.5887,31.3711,31.38,46.4942,47.4625,30.3346,30.955,18.481,18.8625
Mar-94,43.9839,44.3133,31.3727,31.3725,46.7971,46.52,29.8376,30.5175,18.5319,18.7575
Feb-94,43.5265,43.896,31.37,31.37,46.4871,46.6788,29.5424,30.0913,18.0784,18.3638
Jan-94,43.0847,43.3116,31.3705,31.37,46.797,46.945,28.1179,28.635,18.0053,17.9875
Dec-93,43.4307,43.1023,31.3704,31.375,46.7849,46.445,28.5641,28.0325,18.3504,18.0863
Nov-93,43.5843,43.4126,31.3706,31.37,46.4691,46.7313,29.0859,28.8375,18.4608,18.37
Oct-93,44.1534,43.6962,31.3711,31.3725,47.1961,46.7138,29.3509,28.995,19.168,18.775
Sep-93,44.4638,44.4952,31.3718,31.375,47.8524,47.3613,29.7787,29.8663,19.3381,19.3463
Aug-93,43.9451,44.1353,31.3725,31.38,46.7983,46.9463,30.2759,30.1875,18.4806,18.8288
Jul-93,43.6093,43.6269,31.3704,31.3676,46.9536,46.5116,29.11,29.54,18.3094,18.0343
Jun-93,44.2402,43.9888,31.4068,31.3381,47.4174,47.3373,29.29,29.37,19.0123,18.5701
May-93,44.34,44.8254,31.3283,31.3775,48.5172,48.84,28.41,29.2,19.5046,19.7433
Apr-93,44.2741,44.5663,31.3105,31.3087,48.4066,49.14,27.94,28.21,19.6442,19.8216
Mar-93,43.5206,43.6511,31.5256,31.2354,45.952,46.62,26.95,26.99,19.1156,19.2864
Feb-93,35.9388,36.0538,32.6456,33.14,46.9305,47.4496,26.95,28.21,19.8792,20.3874
Jan-93,36.0815,36.2053,30.8833,31.3529,47.3135,47.7897,24.65,25.28,19.0531,19.8216
Dec-92,36.3293,36.025,30.7005,30.8737,47.4215,46.6744,24.77,24.78,19.407,19.1755
Nov-92,35.9097,35.7013,30.0824,30.1205,45.9348,45.5063,24.3,24.18,19.0096,18.8147
Oct-92,37.1616,36.4,30.0471,30.0661,49.8933,46.7017,24.81,24.6,20.2505,19.5122
Sep-92,37.695,38.1318,30.0584,30.0436,55.4053,53.6913,24.5,25.16,20.7172,21.2993
Aug-92,37.7091,38.3912,30.0885,30.4878,58.3626,59.97,23.78,24.6,20.6825,21.4823
Jul-92,37.3848,37.3893,30.2524,30.1069,57.971,58.0552,24.07,23.72,20.2759,20.429
Jun-92,36.5507,37.053,30.2361,30.6607,55.9065,58.4795,23.83,24.6,19.1931,20.2429
May-92,35.9313,36.1507,30.3407,30.5577,54.8817,56.0224,23.25,24.01,18.7136,19.1022
Apr-92,35.4851,35.4631,30.9253,30.6138,54.2564,54.1272,23.16,22.96,18.7554,18.4672
Mar-92,35.3472,35.5143,29.4551,31.2256,51.9588,53.6913,22.7,23.28,18.1709,18.8501
